id,name,ra_deg,dec_deg,l_deg,b_deg,dist_kpc,dist_src,X_kpc,Y_kpc,Z_kpc,Rgc_kpc,V_mag,M_V,FeH,EBV,BV,vr_kms,conc_c,Rh_arcmin,logTh,muV,pmRA,pmDE,e_pmRA,e_pmDE,plx,Nstar_gaia,Mass_Msun,ML_V,rh_pc,sigma0,Vesc_kms,logTRH,RV_bh,in_harris,in_vb2021,in_bh2018,has_dist
DJORG2,E456-SC38,270.45,-27.826,2.76,-2.51,8.1967,GaiaEDR3plx,0.095642,-0.39431,-0.35897,0.54174,9.9,-8.9,,1,,,1.5,0.83,,19.5,0.662,-2.983,0.042,0.037,0.122,16,,,,,,,,True,True,False,True
LILLER1,LILLER1,263.35,-33.39,354.84,-0.16,8.1,BH2018,0.20786,0.72849,-0.022619,0.7579,16.77,-7.58,0.22,2.98,,52,2.3,0.45,,23.15,-5.403,-7.431,0.109,0.077,-0.089,83,6.66e+05,1.48,1.11,23.2,94.3,8.61,58.2,True,True,True,True
NGC6522,NGC6522,270.89,-30.034,1.02,-3.93,7.7,BH2018,0.59432,-0.13675,-0.52774,0.80649,8.27,-7.51,-1.52,0.5,1.21,-15,2.5,1.04,8.25,16.14,2.566,-6.438,0.039,0.036,0.125,63,3.92e+05,3.31,4.34,8.2,33.3,9.75,-14,True,True,True,True
NGC6355,NGC6355,260.99,-26.353,359.58,5.43,8.7,BH2018,-0.38573,0.063488,0.82328,0.91137,9.14,-7.44,-1.5,0.75,1.48,-176.9,2.5,0.87,8.47,18.05,-4.738,-0.572,0.031,0.03,0.15,63,1.53e+05,1.22,2.64,6.2,24.6,9.09,-196.4,True,True,True,True
NGC6528,NGC6528,271.21,-30.056,1.14,-4.17,7.45,BH2018,0.84619,-0.14783,-0.54173,1.0156,9.6,-6.68,-0.17,0.62,1.53,184.9,2.29,0.43,7.73,16.91,-2.157,-5.649,0.043,0.039,0.125,24,89600,2.26,1.97,6.4,26.3,8.65,211,True,True,True,True
NGC6440,NGC6440,267.22,-20.36,7.73,3.8,8.24,BH2018,0.12783,-1.1059,0.5461,1.24,9.2,-8.7,-0.34,1.09,1.97,-78.7,1.7,0.58,8.15,17.02,-1.187,-4.02,0.036,0.035,0.149,86,4.42e+05,2.04,1.25,15.8,61.7,8.63,-67.8,True,True,True,True
PAL6,PAL6,265.93,-26.223,2.09,1.78,9.6154,GaiaEDR3plx,-1.3294,-0.3505,0.29867,1.4069,11.55,-7.32,-0.1,1.53,2.83,201,1.1,1.06,,21.58,-9.222,-5.347,0.038,0.036,0.104,29,,,,,,,,True,True,False,True
NGC6273,M 19,255.66,-26.268,356.87,9.38,8.24,BH2018,0.1573,0.4439,1.343,1.4232,6.77,-9.03,-1.68,0.37,1.03,135,1.53,1.25,9.28,16.82,-3.249,1.66,0.026,0.025,0.142,1435,6.8e+05,2.09,3.13,11,42.5,9.53,145.3,True,True,True,True
TERZAN5,Terzan 11,267.02,-24.779,3.81,1.67,6.8966,GaiaEDR3plx,1.3966,-0.45807,0.20099,1.4835,13.85,-7.86,-0.28,2.32,2.77,-94,1.74,0.83,,20.33,-1.989,-5.243,0.068,0.066,0.145,45,5.66e+05,1.31,1.14,19,72.1,8.59,-82.3,True,True,True,True
TERZAN10,TERZAN10,270.74,-26.073,4.42,-1.86,6.8966,GaiaEDR3plx,1.4026,-0.53122,-0.22384,1.5164,14.9,-7.77,-0.7,2.6,,,,,,21.28,-6.827,-2.588,0.059,0.05,0.145,48,,,,,,,,True,True,False,True
NGC6304,NGC6304,258.63,-29.462,355.83,5.38,9.4,BH2018,-1.0588,0.68052,0.88135,1.5365,8.22,-7.27,-0.59,0.52,1.31,-107.3,1.8,1.41,8.56,17.34,-4.07,-1.088,0.029,0.028,0.169,105,2.77e+05,1.37,4.45,5.7,23,9.49,-108.2,True,True,True,True
HP1,BH 229,262.77,-29.982,357.42,2.12,6.8,BH2018,1.4865,0.30589,0.25155,1.5384,11.59,-6.39,-1.5,1.19,,53.1,2.5,3.1,9.49,21.29,2.523,-10.093,0.039,0.037,0.124,25,1.11e+05,5.04,2.55,5.5,21.3,8.95,40.1,True,True,True,True
NGC6637,M 69,277.85,-32.348,1.72,-10.27,8.6207,GaiaEDR3plx,-0.20375,-0.25461,-1.537,1.5712,7.64,-7.47,-0.71,0.17,1.01,39.9,1.39,0.83,8.69,16.83,-5.034,-5.832,0.028,0.028,0.116,388,,,,,,,,True,True,False,True
NGC6342,NGC6342,260.29,-19.587,4.9,9.73,8.43,BH2018,-0.0033694,-0.70971,1.4247,1.5917,9.66,-6.49,-0.65,0.44,1.26,80.9,2.5,0.88,8.58,17.44,-2.903,-7.116,0.027,0.026,0.141,194,46400,2.82,2.1,4.5,17,8.53,116,True,True,True,True
NGC6638,NGC6638,277.73,-25.497,7.9,-7.15,8.6957,GaiaEDR3plx,-0.27115,-1.1859,-1.0823,1.6283,9.02,-6.78,-0.99,0.4,1.15,18.1,1.4,0.66,8.02,17.27,-2.518,-4.076,0.029,0.029,0.115,152,,,,,,,,True,True,False,True
NGC6652,NGC6652,278.94,-32.991,1.53,-11.38,8.4034,GaiaEDR3plx,0.039785,-0.21996,-1.6581,1.6731,8.62,-6.52,-0.96,0.09,0.94,-111.7,1.8,0.65,8.5,16.31,-5.484,-4.274,0.027,0.027,0.119,319,,,,,,,,True,True,False,True
NGC6642,NGC6642,277.98,-23.475,9.81,-6.44,8.05,BH2018,0.39276,-1.3629,-0.90291,1.6814,9.13,-6.52,-1.35,0.4,1.11,-57.2,1.99,0.73,8.25,16.68,-0.173,-3.892,0.03,0.03,0.126,60,87200,1.77,1.5,6.9,27.5,8.36,-33,True,True,True,True
NGC6624,NGC6624,275.92,-30.361,2.79,-7.91,7,BH2018,1.3498,-0.33749,-0.96332,1.6923,7.87,-7.45,-0.42,0.27,1.11,53.9,2.5,0.82,8.5,15.42,0.124,-6.936,0.029,0.029,0.13,120,73100,1.02,1.49,6.1,24.4,8.4,54.7,True,True,True,True
NGC6401,NGC6401,264.65,-23.91,3.45,3.98,6.7114,GaiaEDR3plx,1.5919,-0.4029,0.46583,1.7069,9.45,-7.57,-1.12,0.85,1.58,-65,1.69,1.91,9.13,18.67,-2.748,1.444,0.035,0.034,0.149,40,,,,,,,,True,True,False,True
NGC6293,NGC6293,257.54,-26.582,357.62,7.83,9.5,BH2018,-1.1283,0.39083,1.2942,1.7609,8.22,-7.72,-1.92,0.39,0.96,-98.9,2.5,0.91,8.52,16.18,0.87,-4.326,0.028,0.028,0.127,194,1.88e+05,1.67,2.76,7.5,29.9,9.17,-142.6,True,True,True,True
TERZAN2,HP 3,261.89,-30.802,356.32,2.3,9.901,GaiaEDR3plx,-1.5976,0.63497,0.39734,1.7645,14.29,-5,-0.25,1.42,,109,2.5,1.52,8.55,21.58,-2.17,-6.263,0.041,0.038,0.101,63,,,,,,,,True,True,False,True
NGC6333,M 9,259.8,-18.516,5.54,10.7,7.4074,GaiaEDR3plx,1.0304,-0.70268,1.3753,1.8566,7.72,-7.99,-1.72,0.36,0.97,229.1,1.15,0.95,8.49,17.4,-2.18,-3.222,0.026,0.026,0.135,803,,,,,,,,True,True,False,True
TERZAN9,TERZAN9,270.41,-26.84,3.6,-1.99,6.4516,GaiaEDR3plx,1.84,-0.40486,-0.22403,1.8973,16,-3.88,-1,1.75,,59,2.5,0.78,,23.21,-2.121,-7.763,0.052,0.049,0.155,33,,,,,,,,True,True,False,True
