#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-29T12:51:22 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-29T12:51:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FMNRAS%2F478%2F1520%2Ftable2&-out.all=1&-out.max=50000&-oc.form=sexa	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74781520
#Name: J/MNRAS/478/1520
#Title: Milky Way globular clusters data (Baumgardt+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/478/1520	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/478/1520	    IVOID of underlying data collection
#INFO	creator=Baumgardt H.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.478.1520B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/478/1520	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74781520	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_478_1520_table2:
#Name: J/MNRAS/478/1520/table2
#Title: Derived parameters of all studied globular clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Note	(A1)	[*] * indicates data in tabled.dat	[ucd=meta.note]
#Column	Cluster	(a12)	Name of the cluster	[ucd=meta.id.parent]
#Column	NRV	(I4)	Number of cluster members with measured radial velocities	[ucd=meta.number]
#Column	<RV>	(F6.1)	Mean radial velocity of the cluster	[ucd=phys.veloc;pos.heliocentric]
#Column	e_<RV>	(F4.1)	Mean radial velocity of the cluster error	[ucd=stat.error]
#Column	chi2	(F5.2)	Reduced chi^2^ value of the velocity dispersion fit	[ucd=stat.fit.chi2;phys.veloc.dispersion;meta.modelled]
#Column	Dist	(F6.2)	Cluster distance (1)	[ucd=pos.distance]
#Column	n_Dist	(A1)	[ab] Note on Dist (2)	[ucd=meta.note]
#Column	Mass	(E9.2)	Total cluster mass	[ucd=phys.mass]
#Column	e_Mass	(E9.2)	Total cluster mass error	[ucd=stat.error;phys.mass]
#Column	M/LV	(F5.2)	Total cluster V-band mass-to-light ratio	[ucd=phys.composition.massLightRatio]
#Column	e_M/LV	(F5.2)	Total cluster V-band mass-to-light ratio error	[ucd=stat.error]
#Column	rc	(F5.2)	Core half-light radius	[ucd=phys.size.radius]
#Column	rnm	(F5.2)	Half-mass half-light radius	[ucd=phys.size.radius]
#Column	rmlp	(F5.2)	Projected half-light radius	[ucd=phys.size.radius]
#Column	logrhoc	(F5.2)	Central density	[ucd=phys.density]
#Column	logrhonm	(F5.2)	Density inside the half-mass radius	[ucd=phys.size.radius]
#Column	logTRH	(F5.2)	Half-mass relaxation time	[ucd=time.relax]
#Column	MFslope	(E8.1)	Global mass function slope	[ucd=arith.grad;phys.mass]
#Column	n_MFslope	(A1)	[cd] Note on MFslope (2)	[ucd=meta.note]
#Column	sigma0	(F4.1)	Mass-weighted central (1D) velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	Vesc	(F4.1)	Central escape velocity	[ucd=phys.veloc.escape]
#Column	SimbadName	(a19)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Note	Cluster	NRV	<RV>	e_<RV>	chi2	Dist	n_Dist	Mass	e_Mass	M/LV	e_M/LV	rc	rnm	rmlp	logrhoc	logrhonm	logTRH	MFslope	n_MFslope	sigma0	Vesc	SimbadName	_RA	_DE
 	 	 	 	km/s	km/s	 	kpc	 	Msun	Msun	Msun/Lsun	Msun/Lsun	pc	pc	pc	[Msun/pc3]	[Msun/pc3]	[yr]	 	 	km/s	km/s	 	deg	deg
--------	-	------------	----	------	----	-----	------	-	---------	---------	-----	-----	-----	-----	-----	-----	-----	-----	--------	-	----	----	-------------------	---------	---------
       1	*	NGC 104     	2896	 -17.2	 0.1	 0.98	  4.41	b	 7.79e+05	 5.00e+03	 1.77	 0.16	 0.49	 5.62	 3.57	 5.31	 2.72	 9.58	-5.3e-01	c	12.2	49.9	NGC 104            	006.02233	-72.08144
       2	*	NGC 288     	 584	 -44.8	 0.1	 1.34	  9.80	b	 1.16e+05	 3.00e+03	 2.39	 0.17	 4.77	 9.54	 6.99	 1.62	 1.22	 9.58	-4.5e-01	c	 3.3	11.0	NGC 288            	013.18850	-26.58261
       3	*	NGC 362     	 487	 223.5	 0.3	 0.98	  9.40	b	 3.45e+05	 5.00e+03	 1.65	 0.25	 0.47	 4.21	 2.32	 4.50	 2.75	 9.30	-8.9e-01	c	 8.8	35.4	NGC 362            	015.80942	-70.84878
       4	*	NGC 1261    	 231	  71.5	 0.3	 2.17	 15.49	a	 1.67e+05	 1.70e+04	 2.12	 0.38	 1.19	 4.72	 3.08	 3.33	 2.33	 9.19	-5.3e-01	c	 5.6	21.2	NGC 1261           	048.06754	-55.21622
       5	 	Pal 2       	  16	-134.9	 1.2	 0.00	 27.20	a	 3.35e+05	 1.62e+05	 1.66	 1.13	 2.10	 7.78	 4.98	 2.88	 1.95	 9.72	-9.8e-01	d	 6.1	22.9	Pal 2              	071.52462	+31.38150
       6	*	NGC 1851    	 586	 320.2	 0.2	 2.08	 11.40	b	 3.02e+05	 4.00e+03	 2.02	 0.15	 0.15	 3.09	 1.65	 6.57	 3.32	 9.02	-5.4e-01	c	10.2	42.9	NGC 1851           	078.52817	-40.04656
       7	*	NGC 1904    	 412	 205.6	 0.2	 2.70	 13.27	a	 1.69e+05	 1.10e+04	 1.72	 0.29	 0.43	 4.18	 2.59	 4.31	 2.45	 9.10	-4.0e-01	d	 6.5	26.2	NGC 1904           	081.04412	-24.52425
       8	 	NGC 2298    	  39	 144.7	 0.4	 0.42	 10.80	a	 1.16e+04	 7.40e+03	 0.46	 0.30	 0.86	 4.03	 2.95	 2.91	 1.76	 8.52	 1.5e-01	c	 1.6	 6.1	NGC 2298           	102.24754	-36.00531
       9	 	NGC 2419    	 195	 -20.6	 0.2	 0.26	 83.20	a	 9.81e+05	 1.42e+05	 2.23	 0.32	 8.94	24.20	18.29	 3.00	 0.92	10.74	-1.5e+00	d	 7.1	22.2	NGC 2419           	114.53546	+38.88192
      10	*	Pyxis       	  43	  40.4	 0.2	 0.62	 39.40	a	 4.49e+04	 1.29e+04	 2.95	 0.93	15.09	25.62	18.09	-0.23	-0.50	10.22	-1.5e+00	d	 1.3	 4.1	NAME Pyxis Cluster 	136.99083	-37.22139
      11	*	NGC 2808    	2047	 103.7	 0.3	 3.07	  9.80	b	 7.42e+05	 5.00e+03	 1.64	 0.12	 0.68	 3.22	 2.06	 4.60	 3.43	 9.21	-5.0e-01	d	14.4	55.6	NGC 2808           	138.01292	-64.86350
      12	 	E 3         	  35	   4.8	 0.5	 0.00	  8.09	a	 3.06e+04	 1.69e+04	 8.08	 4.70	 2.77	 8.23	 5.45	 1.69	 0.95	 9.26	-5.5e-01	d	 1.8	 6.5	E 3                	140.23779	-77.28189
      13	 	Pal 3       	  14	  89.9	 1.2	 0.00	 92.50	a	 6.15e+04	 3.29e+04	 2.85	 1.69	13.55	28.07	19.69	 0.01	-0.40	10.32	-1.5e+00	d	 1.4	 4.7	Pal 3              	151.37900	+00.07094
      14	*	NGC 3201    	 690	 494.3	 0.1	 1.17	  4.70	a	 1.49e+05	 9.00e+03	 2.40	 0.42	 1.91	 6.20	 3.77	 2.68	 1.87	 9.42	-9.6e-01	c	 4.5	16.8	NGC 3201           	154.40342	-46.41247
