#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-29T12:51:06 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-29T12:51:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2F202%2Fcatalog&-out.all=1&-out.max=50000&-oc.form=sexa	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7202
#Name: VII/202
#Title: Globular Clusters in the Milky Way (Harris, 1997)
#INFO	ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/202	    IVOID of underlying data collection
#INFO	creator=Harris W.E.	    First author or institution
#INFO	cites=bibcode:1996AJ....112.1487H	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/202	    Dataset landing page
#INFO	publication_date=2015-08-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_202_catalog:
#Name: VII/202/catalog
#Title: The catalogue of Globular Clusters
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	ID	(A9)	Cluster identification number	[ucd=meta.id;phys.atmol.number]
#Column	Name	(a11)	Other commonly used cluster name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F6.2)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	Rsun	(F5.1)	? Distance from Sun	[ucd=pos.distance;pos.heliocentric]
#Column	Rgc	(F5.1)	? Distance from Galactic center, assuming R(Sun)=8.0 kpc	[ucd=pos.distance;pos.galactocentric]
#Column	X	(F5.1)	? X-component (1)	[ucd=pos]
#Column	Y	(F5.1)	? Y-component (1)	[ucd=pos]
#Column	Z	(F5.1)	? Z-component (1)	[ucd=pos]
#Column	E(B-V)	(F5.2)	? Foreground reddening	[ucd=phot.color.excess]
#Column	V(HB)	(F5.2)	? V magnitude of the horizontal branch (or RR Lyraes)	[ucd=phot.mag;em.opt.V]
#Column	(m-M)V	(F5.2)	? Apparent visual distance modulus	[ucd=phot.mag.distMod]
#Column	Vt	(F5.2)	? Integrated V magnitude of the cluster	[ucd=phot.mag;em.opt]
#Column	MVt	(F6.2)	? Absolute visual magnitude (cluster luminosity)	[ucd=phys.magAbs;em.opt.V]
#Column	(U-B)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	(B-V)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	(V-R)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	(V-I)t	(F5.2)	? Integrated color index (2)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	S(RR)	(F5.1)	? Specific frequency of RR Lyr (see Suntzeff et al., 1991ApJ...367..528S)	[ucd=em.freq]
#Column	HBR	(F5.2)	? Horizontal-branch ratio = (B-R)/(B+V+R) (see Lee, 1990ApJ...363..159L)	[ucd=stat.param]
#Column	HBt	(A3)	[0-7/: ] Dickens horizontal-branch morphological type (see Dickens, 1972MNRAS.157..281D)	[ucd=src.morph.type]
#Column	[Fe/H]	(F5.2)	? Metallicity in log (base 10) scale	[ucd=instr.scale]
#Column	SpT	(A4)	Integrated spectral type	[ucd=src.spType]
#Column	Vr	(F6.1)	? Heliocentric radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_Vr	(F4.1)	? Observational uncertainty in Vr	[ucd=stat.error]
#Column	Vlsr	(F6.1)	? Radial velocity relative to Solar local standard of rest	[ucd=spect.dopplerVeloc;pos.lsr]
#Column	c	(F5.2)	? Central concentration, c = log(Rt/Rc)	[ucd=em.wl.central]
#Column	n_c	(A2)	[c: ] 'c' denotes a core-collapsed cluster	[ucd=meta.note]
#Column	Rc	(F5.2)	? Core radius	[ucd=phys.angSize]
#Column	Rh	(F5.2)	? Half-mass radius	[ucd=phys.angSize]
#Column	u_Rh	(A1)	Uncertainty flag (:) on Rh	[ucd=meta.code.error]
#Column	log(Tc)	(F5.2)	? Log (base 10) of core relaxation time	[ucd=time.relax]
#Column	log(Th)	(F5.2)	? Log (base 10) of relaxation time at the half-mass radius	[ucd=time.relax]
#Column	muV	(F5.2)	? Central surface brightness in V band	[ucd=phot.mag.sb;em.opt.V]
#Column	log(rhoc)	(F5.2)	? Logarithm of central luminosity density (Solar luminosities per cubic parsec)	[ucd=phys.luminosity]
recno	ID	Name	RAJ2000	DEJ2000	GLON	GLAT	Rsun	Rgc	X	Y	Z	E(B-V)	V(HB)	(m-M)V	Vt	MVt	(U-B)t	(B-V)t	(V-R)t	(V-I)t	S(RR)	HBR	HBt	[Fe/H]	SpT	Vr	e_Vr	Vlsr	c	n_c	Rc	Rh	u_Rh	log(Tc)	log(Th)	muV	log(rhoc)
 	 	 	"h:m:s"	"d:m:s"	deg	deg	kpc	kpc	kpc	kpc	kpc	mag	mag	mag	mag	mag	mag	mag	mag	mag	 	 	 	Sun	 	km/s	km/s	km/s	 	 	arcmin	arcmin	 	yr	yr	mag/arcsec2	solLum/pc3
--------	---------	-----------	----------	---------	------	------	-----	-----	-----	-----	-----	-----	-----	-----	-----	------	-----	-----	-----	-----	-----	-----	---	-----	----	------	----	------	-----	--	-----	-----	-	-----	-----	-----	-----
       1	NGC 104  	47 Tuc     	00 24 05.2	-72 04 51	305.90	-44.89	  4.3	  7.3	  1.8	 -2.5	 -3.0	 0.05	14.06	13.32	 3.95	 -9.37	 0.37	 0.88	 0.53	 1.14	  0.4	-0.99	7  	-0.76	G4  	 -18.7	 0.2	 -28.0	 2.04	  	 0.37	 2.79	 	 7.99	 9.24	14.43	 4.87
       2	NGC 288  	           	00 52 47.5	-26 35 24	152.28	-89.38	  8.1	 11.4	 -0.1	  0.0	 -8.1	 0.03	15.30	14.64	 8.09	 -6.55	 0.08	 0.65	 0.45	 0.94	  4.8	 0.98	0  	-1.24	    	 -46.6	 0.4	 -53.9	 0.96	  	 1.42	 2.22	 	 9.09	 8.99	19.95	 1.84
       3	NGC 362  	           	01 03 14.3	-70 50 54	301.53	-46.25	  8.3	  9.2	  3.0	 -4.9	 -6.0	 0.05	15.43	14.75	 6.40	 -8.35	 0.16	 0.77	 0.49	 1.01	  5.9	-0.87	6  	-1.16	F9  	 223.5	 0.5	 213.3	 1.94	c:	 0.17	 0.81	 	 7.79	 8.43	14.88	 4.74
       4	NGC 1261 	           	03 12 15.3	-55 13 01	270.54	-52.13	 16.0	 17.9	  0.1	 -9.8	-12.6	 0.01	16.70	16.05	 8.29	 -7.76	 0.13	 0.72	 0.45	 0.93	 14.9	-0.71	5  	-1.35	F7  	  68.2	 4.6	  53.4	 1.27	  	 0.39	 0.75	 	 8.79	 8.81	17.65	 2.97
       5	Pal 1    	           	03 33 23.0	+79 34 50	130.07	 19.03	  9.7	 15.9	 -5.9	  7.0	  3.2	 0.15	16.13	15.40	13.52	 -1.88	     	 0.96	     	     	  0.0	-1.00	7: 	-0.80	    	      	    	      	 1.50	  	 0.32	 0.48	 	     	 7.53	22.16	 1.63
       6	AM 1     	E 1        	03 55 02.7	-49 36 52	258.36	-48.47	119.1	120.5	-15.9	-77.4	-89.2	 0.00	20.96	20.38	15.72	 -4.66	     	 0.72	     	     	 41.0	-0.93	6  	-1.80	    	 116.0	20.0	  99.5	 1.23	  	 0.12	 0.50	 	 8.65	 9.46	23.86	 0.10
       7	Eridanus 	           	04 24 44.5	-21 11 13	218.11	-41.33	 80.8	 85.8	-47.7	-37.4	-53.4	 0.02	20.23	19.60	14.70	 -4.90	     	 0.79	     	     	  0.0	-1.00	7  	-1.46	    	 -23.6	 2.1	 -41.4	 1.10	  	 0.25	 0.40	 	     	     	22.81	 0.42
       8	Pal 2    	           	04 46 05.9	+31 22 51	170.53	 -9.07	 26.9	 34.8	-26.2	  4.4	 -4.2	 1.24	21.65	20.99	13.04	 -7.95	 1.83	 2.08	     	 2.65	     	     	5  	-1.30	    	-133.0	57.0	-141.9	 1.45	  	 0.24	 0.67	 	 8.15	 8.04	19.39	 3.77
       9	NGC 1851 	           	05 14 06.3	-40 02 50	244.51	-35.04	 12.2	 16.8	 -4.3	 -9.0	 -7.0	 0.02	16.15	15.49	 7.14	 -8.35	 0.17	 0.76	 0.49	 1.01	 10.1	-0.36	1/6	-1.26	F7  	 320.9	 1.0	 302.1	 2.24	  	 0.08	 0.52	 	 7.41	 8.50	14.15	 5.17
      10	NGC 1904 	M 79       	05 24 10.6	-24 31 27	227.23	-29.35	 12.6	 18.5	 -7.5	 -8.1	 -6.2	 0.01	16.15	15.53	 7.73	 -7.80	 0.06	 0.65	 0.44	 0.91	  5.3	 0.89	0  	-1.54	F5  	 207.5	 0.5	 188.3	 1.72	  	 0.16	 0.80	 	 7.87	 8.66	16.23	 4.01
      11	NGC 2298 	           	06 48 59.2	-36 00 19	245.63	-16.01	 10.6	 15.6	 -4.2	 -9.3	 -2.9	 0.13	16.11	15.54	 9.29	 -6.25	 0.17	 0.75	 0.54	 1.11	  9.5	 0.93	1  	-1.85	F5  	 148.9	 1.2	 129.8	 1.28	  	 0.34	 0.78	 	 8.02	 8.36	18.79	 2.90
      12	NGC 2419 	           	07 38 08.5	+38 52 55	180.37	 25.24	 82.3	 89.6	-74.4	 -0.5	 35.1	 0.11	20.45	19.92	10.39	 -9.53	 0.07	 0.66	     	 1.05	  5.7	 0.86	2  	-2.12	F5  	 -20.0	 0.8	 -26.4	 1.40	  	 0.35	 0.73	 	10.02	10.28	19.83	 1.55
      13	Pyxis    	           	09 07 57.8	-37 13 17	261.32	  7.00	 38.5	 40.5	 -5.8	-37.8	  4.7	 0.21	19.25	18.58	12.90	 -5.68	     	     	     	     	     	-1.00	7: 	-1.20	    	      	    	      	 0.65	  	 1.38	 1.35	 	     	     	     	
      14	NGC 2808 	           	09 12 02.6	-64 51 47	282.19	-11.25	  9.3	 10.9	  1.9	 -8.9	 -1.8	 0.23	16.19	15.55	 6.20	 -9.35	 0.28	 0.92	 0.57	 1.18	  0.4	-0.49	0/7	-1.37	F7  	  93.6	 2.4	  80.1	 1.77	  	 0.26	 0.76	 	 8.35	 8.77	15.17	 4.62
